capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222898144.531250000,-85.7673206095,-104.401556531,-85.8272102575
physical37_mandatory_baseline_222p5_223p0,222898217.773437500,-85.4899459028,-104.174246144,-85.549144423
physical37_mandatory_baseline_222p5_223p0,222898291.015625000,-85.5107680056,-104.378342901,-85.5675042449
physical37_mandatory_baseline_222p5_223p0,222898364.257812500,-85.431044611,-104.20505647,-85.4890247036
physical37_mandatory_baseline_222p5_223p0,222898437.500000000,-84.9987763644,-104.290666104,-85.0502001435
physical37_mandatory_baseline_222p5_223p0,222898510.742187500,-86.103973811,-104.31802751,-86.1699938477
physical37_mandatory_baseline_222p5_223p0,222898583.984375000,-85.2696412559,-104.348703986,-85.3236639668
physical37_mandatory_baseline_222p5_223p0,222898657.226562500,-85.4683937343,-104.459319473,-85.5235310586
physical37_mandatory_baseline_222p5_223p0,222898730.468750000,-85.6158618809,-104.419773757,-85.6734415181
physical37_mandatory_baseline_222p5_223p0,222898803.710937500,-85.8733475513,-104.340733753,-85.9355997338
physical37_mandatory_baseline_222p5_223p0,222898876.953125000,-86.2211630707,-104.217371041,-86.2906064838
physical37_mandatory_baseline_222p5_223p0,222898950.195312500,-85.9145736926,-103.742616211,-85.9867817162
physical37_mandatory_baseline_222p5_223p0,222899023.437500000,-85.8753521286,-103.957396074,-85.9434257969
physical37_mandatory_baseline_222p5_223p0,222899096.679687500,-85.6823358373,-104.213305394,-85.7436768293
physical37_mandatory_baseline_222p5_223p0,222899169.921875000,-85.2042222837,-104.347536602,-85.2574467586
physical37_mandatory_baseline_222p5_223p0,222899243.164062500,-85.5219913051,-104.237797327,-85.5807590169
physical37_mandatory_baseline_222p5_223p0,222899316.406250000,-85.6867377254,-103.877263063,-85.7531191581
physical37_mandatory_baseline_222p5_223p0,222899389.648437500,-85.8684188748,-103.787438255,-85.9391177528
physical37_mandatory_baseline_222p5_223p0,222899462.890625000,-85.7448183784,-104.043753252,-85.8095510359
physical37_mandatory_baseline_222p5_223p0,222899536.132812500,-85.4062798331,-104.068074858,-85.4657880342
physical37_mandatory_baseline_222p5_223p0,222899609.375000000,-85.4103994872,-103.715552326,-85.4750388381
physical37_mandatory_baseline_222p5_223p0,222899682.617187500,-85.8722062158,-103.864228961,-85.9417171213
physical37_mandatory_baseline_222p5_223p0,222899755.859375000,-85.8284134312,-104.135267281,-85.8930272803
physical37_mandatory_baseline_222p5_223p0,222899829.101562500,-86.3577885539,-103.898435977,-86.4349807618
physical37_mandatory_baseline_222p5_223p0,222899902.343750000,-86.0068076928,-104.177221436,-86.0734996198
physical37_mandatory_baseline_222p5_223p0,222899975.585937500,-85.8140925752,-104.221555323,-85.8772159752
physical37_mandatory_baseline_222p5_223p0,222900048.828125000,-85.7553232063,-104.524092044,-85.8133738078
physical37_mandatory_baseline_222p5_223p0,222900122.070312500,-85.6365997221,-104.508176189,-85.6932833664
physical37_mandatory_baseline_222p5_223p0,222900195.312500000,-85.3454354503,-104.421231043,-85.3994990712
physical37_mandatory_baseline_222p5_223p0,222900268.554687500,-85.8553486196,-104.070622801,-85.9213499638
physical37_mandatory_baseline_222p5_223p0,222900341.796875000,-85.5952190125,-104.00102395,-85.658366689
physical37_mandatory_baseline_222p5_223p0,222900415.039062500,-85.6273440882,-104.233930718,-85.6876189057
physical37_mandatory_baseline_222p5_223p0,222900488.281250000,-85.3754427655,-104.531108545,-85.4285151561
physical37_mandatory_baseline_222p5_223p0,222900561.523437500,-85.3512733109,-104.317337188,-85.4067292122
physical37_mandatory_baseline_222p5_223p0,222900634.765625000,-85.6037707279,-104.123459296,-85.6652723979
physical37_mandatory_baseline_222p5_223p0,222900708.007812500,-85.6944805437,-104.02324491,-85.758766813
physical37_mandatory_baseline_222p5_223p0,222900781.250000000,-85.4171925423,-104.051733256,-85.4770779582
physical37_mandatory_baseline_222p5_223p0,222900854.492187500,-86.5720417851,-103.899474122,-86.6531547759
physical37_mandatory_baseline_222p5_223p0,222900927.734375000,-85.9760398975,-103.989727346,-86.0452021437
physical37_mandatory_baseline_222p5_223p0,222901000.976562500,-85.4627478513,-104.043679879,-85.5233822818
physical37_mandatory_baseline_222p5_223p0,222901074.218750000,-85.4617875378,-104.025931913,-85.5226584577
physical37_mandatory_baseline_222p5_223p0,222901147.460937500,-85.5601747052,-104.085825586,-85.6215913998
physical37_mandatory_baseline_222p5_223p0,222901220.703125000,-85.9177787416,-104.358346367,-85.9804193279
physical37_mandatory_baseline_222p5_223p0,222901293.945312500,-85.8831707961,-104.311093645,-85.9459953579
physical37_mandatory_baseline_222p5_223p0,222901367.187500000,-85.6710584866,-104.230149058,-85.7320007816
physical37_mandatory_baseline_222p5_223p0,222901440.429687500,-85.9291277087,-104.361677381,-85.9918848893
physical37_mandatory_baseline_222p5_223p0,222901513.671875000,-86.0689084591,-104.291227694,-86.1348020082
physical37_mandatory_baseline_222p5_223p0,222901586.914062500,-86.0238517338,-103.966435547,-86.094164931
physical37_mandatory_baseline_222p5_223p0,222901660.156250000,-85.9784273089,-104.215798079,-86.0440911509
physical37_mandatory_baseline_222p5_223p0,222901733.398437500,-86.4640403184,-104.383408378,-86.534733474
physical37_mandatory_baseline_222p5_223p0,222901806.640625000,-86.0175502483,-104.153048714,-86.0847846973
physical37_mandatory_baseline_222p5_223p0,222901879.882812500,-85.7748817122,-104.208226701,-85.8376273178
physical37_mandatory_baseline_222p5_223p0,222901953.125000000,-85.8532736635,-104.177441908,-85.9176285095
physical37_mandatory_baseline_222p5_223p0,222902026.367187500,-85.9286537138,-104.207000726,-85.9936962818
physical37_mandatory_baseline_222p5_223p0,222902099.609375000,-85.9998568243,-104.103152433,-86.0675955912
physical37_mandatory_baseline_222p5_223p0,222902172.851562500,-84.7603487538,-104.042777799,-84.8118853448
physical37_mandatory_baseline_222p5_223p0,222902246.093750000,-85.1306145663,-104.157761687,-85.1852910473
physical37_mandatory_baseline_222p5_223p0,222902319.335937500,-85.9236182453,-104.172050718,-85.9891137851
physical37_mandatory_baseline_222p5_223p0,222902392.578125000,-86.0810373202,-103.996768025,-86.1517901935
physical37_mandatory_baseline_222p5_223p0,222902465.820312500,-85.3956494195,-104.034980098,-85.4554683657
physical37_mandatory_baseline_222p5_223p0,222902539.062500000,-84.6026200898,-103.696866424,-84.6564530854
physical37_mandatory_baseline_222p5_223p0,222902612.304687500,-85.4748895606,-104.091356555,-85.5350264536
physical37_mandatory_baseline_222p5_223p0,222902685.546875000,-85.6962964027,-104.345656323,-85.7559764148
